playerId,teamId,gameId,gameType,maxRank,kills,damages,walkDist,rideDist,heals,weapons,gameTime,winRankPercentage,prediction,residual,absolute_error
bf9104d9f86113,8738398987e543,8d5c56ea372e42,solo,18,0,164.3,0.0,0.0,0,7,1557,0.0,1.0,1.0,1.0
3d1593171f1ead,c807f2b326acae,abc9ec13d853f6,normal-duo-fpp,11,0,57.75,0.0,0.0,0,2,899,1.0,0.009962809272110462,-0.9900371907278895,0.9900371907278895
dde9486b06ba0b,98f8337ec1c14a,79dafc8cc6f755,solo,16,0,109.4,0.0,0.0,0,10,1808,0.0,0.9353960156440735,0.9353960156440735,0.9353960156440735
03a40fdefd4d9e,af22bc997af6bc,d0668068cfa369,solo,18,0,123.9,0.0,0.0,0,7,1808,1.0,0.10669736564159393,-0.8933026343584061,0.8933026343584061
b4e92a23f4e2c5,8596f1ace0a0e6,278f9c9cdc08b1,solo,17,0,499.2,0.0,0.0,0,8,1808,0.0,0.8550690412521362,0.8550690412521362,0.8550690412521362
f7857a1138dd79,f128c3bd9daeec,8dbc6b52521c0f,normal-squad,2,6,964.3,156.5,0.0,11,20,883,0.0,0.8423641920089722,0.8423641920089722,0.8423641920089722
aabc5408f1d00e,c6e53d91dc9fd4,fb9f622215e151,solo,16,0,0.0,0.0,0.0,0,2,1771,0.0,0.7928959131240845,0.7928959131240845,0.7928959131240845
9a9688a47775a0,af10740c58ac13,575e7b0988d426,squad,28,4,493.3,202.2,0.0,2,1,1880,0.963,0.19633615016937256,-0.7666638498306274,0.7666638498306274
fc0446bc5ecfd5,87b520de98dd6d,eae1670af29f15,solo,18,0,22.55,0.0,0.0,0,6,1808,0.0,0.717919647693634,0.717919647693634,0.717919647693634
0ea2d714180675,56d9d6f8814a06,af08fed77a4683,solo,17,0,0.0,0.0,0.0,0,10,1808,1.0,0.2967504560947418,-0.7032495439052582,0.7032495439052582
5a111084a75303,485c0560b64358,c9cc83fcac92cd,normal-duo-fpp,10,0,4.407,576.9,6371.0,2,0,1035,1.0,0.30382347106933594,-0.6961765289306641,0.6961765289306641
a14b8d1fc57d10,3571629943f0f0,9d9e1ffe2b9bfc,solo,18,0,0.0,0.0,0.0,0,3,1808,1.0,0.30826282501220703,-0.691737174987793,0.691737174987793
c1cdec60611951,7c7e4b4a73a33d,04613ee29cb842,squad,26,3,335.0,539.3,0.0,0,3,1844,1.0,0.318869948387146,-0.681130051612854,0.681130051612854
4d2e1333ae4657,125d4249bde891,9dc98466b9594d,normal-squad-fpp,10,0,83.42,0.0,0.0,0,4,559,0.8889,0.2189154326915741,-0.6699845673084259,0.6699845673084259
c12f48d39e2a5c,12daf9e1573dae,f8b06c2f753607,solo,14,0,50.07,720.6,0.0,0,6,1808,1.0,0.3452802896499634,-0.6547197103500366,0.6547197103500366
73d604bd095e2b,7f12ff963cffb1,6785d7053a1bed,squad,30,3,310.1,450.7,0.0,0,3,1837,0.8966,0.26712921261787415,-0.6294707873821258,0.6294707873821258
002e67f6df3ad3,55b318cd692b1b,56c039a35ff967,duo-fpp,47,3,360.2,67.87,0.0,5,3,1380,0.9783,0.35372501611709595,-0.624574983882904,0.624574983882904
4235f333c2dc5f,033d81d213d0ef,751bc9450c0abc,squad,27,3,228.7,844.8,0.0,1,3,1967,0.9615,0.3415127396583557,-0.6199872603416443,0.6199872603416443
b5e229ecc2e92f,4eee574e145fd8,e17acf3d7d1205,solo,18,0,133.1,0.0,0.0,0,20,1808,1.0,0.38079124689102173,-0.6192087531089783,0.6192087531089783
7a9e0744f12b70,e170ac9b67c457,0bb0067cbaf7e8,normal-squad-fpp,10,3,259.5,1708.0,1614.0,0,12,383,0.0,0.6190506815910339,0.6190506815910339,0.6190506815910339
39f7c22b454c22,ecf2e1e8a0e7d6,7bdf7e3a07d142,squad-fpp,29,1,123.8,187.3,0.0,0,1,1376,0.8929,0.27470049262046814,-0.6181995073795319,0.6181995073795319
b0f6a8b4aa5dcf,c484a7084d0ac9,b28ba52b0e1828,normal-squad-fpp,4,4,453.8,1455.0,1838.0,7,15,761,1.0,0.39025333523750305,-0.609746664762497,0.609746664762497
3063493ea78470,436d7bb11a83f4,b3dd2ad891d211,solo,19,0,21.05,0.0,0.0,0,12,1808,1.0,0.3915781080722809,-0.6084218919277191,0.6084218919277191
105463326a3f6a,108f4c00d80882,ff9cd80c0d8fb7,normal-squad-fpp,10,9,743.8,903.8,0.0,0,7,799,1.0,0.3966100513935089,-0.6033899486064911,0.6033899486064911
78d50f11691f8c,1b1f6db419b4ec,dce73ba1579b9c,squad-fpp,28,2,264.1,231.0,0.0,0,3,1401,0.8889,0.2858991324901581,-0.6030008675098419,0.6030008675098419
