feature,category,train_pct,test_pct,percentage_point_change
gameType,squad-fpp,39.534000000000006,40.04,0.5059999999999953
gameType,solo-fpp,11.867999999999999,12.280000000000001,0.41200000000000125
gameType,duo-fpp,22.62,22.259999999999998,-0.360000000000002
gameType,solo,4.077999999999999,3.7600000000000002,-0.3179999999999995
gameType,normal-squad-fpp,0.44,0.24,-0.20000000000000004
gameType,duo,7.0360000000000005,7.180000000000001,0.14399999999999968
gameType,flaretpp,0.06,0.0,-0.06
gameType,crashfpp,0.148,0.1,-0.047999999999999994
gameType,normal-duo-fpp,0.136,0.1,-0.036000000000000004
gameType,squad,13.998,14.02,0.021999999999999797
gameType,normal-squad,0.018000000000000002,0.0,-0.018000000000000002
gameType,flarefpp,0.016,0.0,-0.016
gameType,crashtpp,0.012,0.0,-0.012
gameType,normal-solo-fpp,0.03,0.02,-0.009999999999999997
gameType,normal-solo,0.004,0.0,-0.004
gameType,normal-duo,0.002,0.0,-0.002
mode_family,squad,53.99,54.300000000000004,0.30999999999999917
mode_family,duo,29.793999999999997,29.54,-0.25399999999999867
mode_family,special,0.23600000000000002,0.1,-0.136
mode_family,solo,15.98,16.06,0.07999999999999952
ranking_system,legacy,38.382,37.76,-0.6220000000000003
ranking_system,rank,59.68,60.0,0.31999999999999806
ranking_system,mixed,1.9380000000000002,2.2399999999999998,0.3019999999999998
