source_row,feature,feature_value,shap_value,absolute_shap_value
56,killRank,26.0,0.1743739831686846,0.1743739831686846
56,walkDist,1170.0,-0.03822612115718521,0.03822612115718521
56,rideDist,0.0,-0.008635176589063289,0.008635176589063289
56,damages,89.23,0.011129657128112775,0.011129657128112775
56,kills,1.0,-0.03274967686734196,0.03274967686734196
56,weapons,4.0,0.002008713631053319,0.002008713631053319
56,upgrades,4.0,0.0339764646431403,0.0339764646431403
56,heals,11.0,0.0034548162308499337,0.0034548162308499337
56,maxRank,32.0,0.0009236641632388658,0.0009236641632388658
56,walk_distance_per_match_minute,40.022805017103764,0.01105793678554926,0.01105793678554926
56,damage_per_kill,89.23,-0.017038351709722083,0.017038351709722083
56,combat_activity,5.0,-0.0008022942207541919,0.0008022942207541919
56,resource_activity,19.0,0.03910182280007161,0.03910182280007161
56,mode_solo,0.0,4.330644758469587e-05,4.330644758469587e-05
56,mode_duo,0.0,-0.007797072071943038,0.007797072071943038
56,mode_squad,1.0,0.0005924916834919226,0.0005924916834919226
66,killRank,3.0,0.3619321213122488,0.3619321213122488
66,walkDist,2617.0,-0.03545402598150558,0.03545402598150558
66,rideDist,0.0,-0.011147082969737822,0.011147082969737822
66,damages,520.0,-0.014246513559325298,0.014246513559325298
66,kills,5.0,-0.11802999506766475,0.11802999506766475
66,weapons,3.0,-0.0009345573831997449,0.0009345573831997449
66,upgrades,3.0,0.025838554654307767,0.025838554654307767
66,heals,8.0,-0.007050486324478564,0.007050486324478564
66,maxRank,97.0,0.07604321778964175,0.07604321778964175
66,walk_distance_per_match_minute,82.68562401263823,0.12436748523107544,0.12436748523107544
66,damage_per_kill,104.0,-0.005696388947748649,0.005696388947748649
66,combat_activity,5.0,-0.0011904660633078646,0.0011904660633078646
66,resource_activity,14.0,0.03718085385214251,0.03718085385214251
66,mode_solo,1.0,-0.034412735493125346,0.034412735493125346
66,mode_duo,0.0,-0.009248715012546711,0.009248715012546711
66,mode_squad,0.0,-0.009008125532973709,0.009008125532973709
69,killRank,62.0,-0.04489189829314011,0.04489189829314011
69,walkDist,277.6,0.01575833119367044,0.01575833119367044
69,rideDist,0.0,-0.006847677747106828,0.006847677747106828
69,damages,30.21,0.002065693627563809,0.002065693627563809
69,kills,0.0,0.05998878737345142,0.05998878737345142
69,weapons,3.0,0.0021799341472116,0.0021799341472116
69,upgrades,0.0,-0.007960626863814673,0.007960626863814673
69,heals,0.0,-0.0005163583893428234,0.0005163583893428234
69,maxRank,29.0,0.004894173522113805,0.004894173522113805
69,walk_distance_per_match_minute,8.964477933261573,-0.09222628854593871,0.09222628854593871
69,damage_per_kill,0.0,0.0008907416442072874,0.0008907416442072874
69,combat_activity,0.0,0.001018729747586626,0.001018729747586626
69,resource_activity,3.0,-0.011996352133290476,0.011996352133290476
69,mode_solo,0.0,0.0021055820378717257,0.0021055820378717257
69,mode_duo,0.0,-0.006922004647646076,0.006922004647646076
69,mode_squad,1.0,0.005364724915211628,0.005364724915211628
72,killRank,55.0,-0.0035022433130315485,0.0035022433130315485
72,walkDist,1216.0,-0.016969281921337082,0.016969281921337082
72,rideDist,0.0,-0.0047071830241376695,0.0047071830241376695
72,damages,0.0,-0.005670162696889673,0.005670162696889673
72,kills,0.0,0.06293871067701662,0.06293871067701662
72,weapons,17.0,0.0008042869475317842,0.0008042869475317842
72,upgrades,2.0,0.009408742891049997,0.009408742891049997
72,heals,2.0,-0.00043577187784005916,0.00043577187784005916
72,maxRank,29.0,-0.0018026168673956889,0.0018026168673956889
72,walk_distance_per_match_minute,51.45275035260931,0.04660105488857712,0.04660105488857712
72,damage_per_kill,0.0,0.00328222965101603,0.00328222965101603
72,combat_activity,0.0,-0.0008442917295343984,0.0008442917295343984
72,resource_activity,21.0,0.059287404030503144,0.059287404030503144
72,mode_solo,0.0,0.0017527384724410407,0.0017527384724410407
72,mode_duo,0.0,-0.006094323158409746,0.006094323158409746
72,mode_squad,1.0,0.0036476402348245727,0.0036476402348245727
93,killRank,22.0,0.21061977059625744,0.21061977059625744
93,walkDist,77.87,0.05809412195702786,0.05809412195702786
93,rideDist,0.0,-0.011556187864781287,0.011556187864781287
93,damages,200.0,-0.006012266815228451,0.006012266815228451
93,kills,2.0,-0.2500052129520365,0.2500052129520365
93,weapons,3.0,-7.03660268994562e-05,7.03660268994562e-05
93,upgrades,0.0,-0.013815091276582757,0.013815091276582757
93,heals,0.0,-0.0018383693511239184,0.0018383693511239184
93,maxRank,30.0,-0.005318968308043728,0.005318968308043728
93,walk_distance_per_match_minute,3.3277777777777784,-0.24090948949604768,0.24090948949604768
93,damage_per_kill,100.0,-0.025163861400088312,0.025163861400088312
93,combat_activity,4.0,-0.008420326348081385,0.008420326348081385
93,resource_activity,3.0,-0.02258489688124468,0.02258489688124468
93,mode_solo,0.0,0.0018846166362226733,0.0018846166362226733
93,mode_duo,0.0,-0.007229053026800809,0.007229053026800809
93,mode_squad,1.0,0.0015534517235286094,0.0015534517235286094
145,killRank,24.0,0.22866267664613765,0.22866267664613765
145,walkDist,2566.0,-0.017617904269710907,0.017617904269710907
145,rideDist,696.1,0.001508966584028542,0.001508966584028542
145,damages,25.38,0.008113619885883447,0.008113619885883447
145,kills,1.0,-0.004496924415874019,0.004496924415874019
145,weapons,4.0,0.0026288331972844758,0.0026288331972844758
145,upgrades,4.0,0.033233287718735884,0.033233287718735884
145,heals,2.0,0.001830434541072869,0.001830434541072869
145,maxRank,49.0,0.05501265725710432,0.05501265725710432
145,walk_distance_per_match_minute,113.53982300884955,0.17746200587184394,0.17746200587184394
145,damage_per_kill,25.38,-0.010745998565046447,0.010745998565046447
145,combat_activity,3.0,0.0016285924445659822,0.0016285924445659822
145,resource_activity,10.0,0.008870386743729485,0.008870386743729485
145,mode_solo,0.0,0.0008749216075912799,0.0008749216075912799
145,mode_duo,1.0,-0.019005578281671553,0.019005578281671553
145,mode_squad,0.0,-0.016067581504119507,0.016067581504119507
147,killRank,28.0,0.15042795163472417,0.15042795163472417
147,walkDist,1776.0,-0.03780329242182543,0.03780329242182543
